event_id,participant_id,company,plan_type,vest_date,shares,price_usd,value_usd,status
V00548,P100329,AstraZeneca,RSU,2025-08-20,119,89.43,10642.11,vested
V00489,P100229,SAP,RSU,2025-08-20,207,191.5,39640.35,vested
V00408,P100222,Siemens,RSU,2025-08-20,109,79.86,8705.18,vested
V00715,P100013,Unilever,RSU,2025-08-20,104,80.53,8374.77,vested
V01565,P100342,Unilever,RSU,2025-08-20,183,89.49,16375.93,vested
V00302,P100303,Coca-Cola,SAYE,2025-08-20,134,19.18,2569.57,vested
V00023,P100153,DHL,ESPP,2025-08-22,158,58.9,9305.92,vested
V01616,P100448,SAP,RSU,2025-08-23,141,107.37,15139.74,vested
V00638,P100001,Coca-Cola,RSU,2025-08-23,131,170.05,22277.06,vested
V01537,P100287,Barclays,ESPP,2025-08-23,124,63.33,7852.67,vested
V00578,P100401,BP,RSU,2025-08-24,130,192.71,25052.11,vested
V01761,P100454,SAP,RSU,2025-08-24,120,131.79,15814.48,vested
V01030,P100066,DHL,SAYE,2025-08-24,223,38.34,8549.74,vested
V00342,P100279,Unilever,RSU,2025-08-24,150,63.65,9547.21,vested
V00945,P100062,DHL,SAYE,2025-08-26,155,23.34,3617.43,vested
V00401,P100104,Novartis,RSU,2025-08-26,69,210.32,14512.36,vested
V01399,P100314,Barclays,RSU,2025-08-26,83,209.04,17350.31,vested
V00843,P100402,Novartis,RSU,2025-08-27,13,205.67,2673.66,vested
V01834,P100314,Barclays,RSU,2025-08-28,66,219.92,14514.91,vested
V01712,P100022,Vodafone,RSU,2025-08-28,162,218.68,35426.68,vested
V01624,P100174,AstraZeneca,ESPP,2025-08-28,189,28.0,5291.91,vested
V00709,P100116,Novartis,SAYE,2025-08-29,161,11.58,1863.6,vested
V00282,P100152,SAP,ESPP,2025-08-29,86,38.72,3329.7,vested
V01319,P100156,AstraZeneca,RSU,2025-08-29,62,196.99,12213.09,vested
V00807,P100029,Siemens,SAYE,2025-08-30,32,13.78,440.9,vested
V00851,P100363,SAP,SAYE,2025-08-30,47,34.3,1612.23,vested
V00117,P100300,Novartis,RSU,2025-08-30,156,168.87,26343.56,vested
V00960,P100289,SAP,ESPP,2025-08-31,53,72.25,3829.46,vested
V00450,P100350,DHL,ESPP,2025-09-02,20,48.84,976.78,vested
V00418,P100322,Barclays,RSU,2025-09-02,84,140.67,11816.59,vested
V00601,P100171,Coca-Cola,RSU,2025-09-02,83,72.36,6006.09,vested
V01092,P100293,SAP,RSU,2025-09-03,215,63.79,13715.19,vested
V00859,P100157,Siemens,SAYE,2025-09-03,165,10.54,1739.65,vested
V01442,P100295,BP,RSU,2025-09-04,161,149.41,24054.52,vested
V00963,P100342,Unilever,RSU,2025-09-06,20,202.21,4044.21,vested
V00491,P100392,DHL,ESPP,2025-09-06,213,19.66,4187.67,vested
V00584,P100182,Coca-Cola,SAYE,2025-09-07,112,19.03,2131.42,vested
V01543,P100310,Coca-Cola,RSU,2025-09-07,198,85.89,17006.75,vested
V01051,P100193,Unilever,SAYE,2025-09-07,22,10.76,236.8,vested
V01417,P100438,Novartis,SAYE,2025-09-07,191,21.29,4066.36,vested
V00055,P100425,Unilever,RSU,2025-09-07,14,62.55,875.65,vested
V01696,P100359,DHL,RSU,2025-09-08,248,135.53,33610.51,vested
V00357,P100472,SAP,RSU,2025-09-08,247,182.67,45120.05,vested
V00697,P100000,Novartis,RSU,2025-09-09,115,163.35,18785.44,vested
V00393,P100112,Barclays,RSU,2025-09-09,126,94.77,11941.41,vested
V00062,P100371,AstraZeneca,ESPP,2025-09-10,216,64.87,14011.44,vested
V00567,P100286,SAP,RSU,2025-09-11,50,207.4,10369.84,vested
V01879,P100287,Barclays,ESPP,2025-09-11,32,43.95,1406.48,vested
V01531,P100089,Coca-Cola,RSU,2025-09-11,51,208.56,10636.79,vested
V01860,P100018,Unilever,SAYE,2025-09-12,149,37.91,5649.26,vested
V00058,P100219,Barclays,RSU,2025-09-12,111,146.49,16260.56,vested
V01436,P100204,SAP,ESPP,2025-09-12,210,74.12,15564.45,vested
V01263,P100128,SAP,SAYE,2025-09-13,82,40.5,3321.01,vested
V00736,P100319,Vodafone,ESPP,2025-09-13,233,87.32,20346.56,vested
V01588,P100352,DHL,RSU,2025-09-13,94,139.18,13082.52,vested
V00539,P100467,Vodafone,RSU,2025-09-14,115,74.81,8603.08,vested
V01268,P100257,SAP,RSU,2025-09-14,142,207.81,29508.94,vested
V01192,P100151,BP,SAYE,2025-09-14,139,24.94,3467.29,vested
V00867,P100369,BP,RSU,2025-09-14,129,183.0,23606.59,vested
V00452,P100425,Unilever,RSU,2025-09-15,165,214.03,35315.12,vested
V01061,P100252,Coca-Cola,ESPP,2025-09-15,36,78.41,2822.9,vested
V01580,P100257,SAP,RSU,2025-09-15,116,199.68,23163.45,vested
V01612,P100327,DHL,RSU,2025-09-15,147,215.73,31712.77,vested
V00081,P100112,Barclays,ESPP,2025-09-16,108,46.87,5062.35,vested
V00604,P100374,SAP,RSU,2025-09-16,223,201.52,44938.89,vested
V00883,P100122,SAP,SAYE,2025-09-17,41,21.9,897.72,vested
V00967,P100045,Unilever,RSU,2025-09-17,149,111.61,16629.27,vested
V00208,P100316,Barclays,RSU,2025-09-18,140,64.98,9097.89,vested
V00410,P100145,AstraZeneca,RSU,2025-09-18,67,174.63,11700.16,vested
V01877,P100194,SAP,RSU,2025-09-18,217,172.39,37409.05,vested
V00790,P100035,AstraZeneca,ESPP,2025-09-19,229,36.59,8379.02,vested
V00519,P100285,Coca-Cola,ESPP,2025-09-19,49,69.85,3422.87,vested
V01043,P100209,Coca-Cola,SAYE,2025-09-20,235,28.88,6787.05,vested
V00391,P100161,BP,ESPP,2025-09-20,50,21.6,1079.86,vested
V00874,P100136,Vodafone,RSU,2025-09-21,81,78.11,6327.3,vested
V00784,P100255,Novartis,SAYE,2025-09-21,212,28.37,6015.23,vested
V01234,P100171,Coca-Cola,ESPP,2025-09-21,144,57.9,8337.18,vested
V01640,P100253,AstraZeneca,SAYE,2025-09-21,94,13.96,1312.26,vested
V01149,P100290,Unilever,RSU,2025-09-22,211,81.39,17173.05,vested
V00670,P100073,AstraZeneca,RSU,2025-09-22,109,117.17,12771.47,vested
V00311,P100092,Coca-Cola,RSU,2025-09-22,27,114.98,3104.55,vested
V01490,P100388,SAP,RSU,2025-09-23,42,193.32,8119.37,vested
V01895,P100031,Vodafone,RSU,2025-09-23,247,120.31,29715.77,vested
V00032,P100163,SAP,RSU,2025-09-23,75,103.88,7790.76,vested
V01611,P100001,Coca-Cola,SAYE,2025-09-23,75,9.91,743.21,vested
V01356,P100014,Coca-Cola,RSU,2025-09-23,192,121.87,23399.59,vested
V01731,P100110,Coca-Cola,RSU,2025-09-23,39,166.37,6488.32,vested
V01414,P100400,Barclays,RSU,2025-09-24,216,128.09,27666.8,vested
V00104,P100423,SAP,RSU,2025-09-24,222,165.95,36841.8,vested
V01693,P100462,Vodafone,RSU,2025-09-25,221,103.77,22932.7,vested
V01615,P100086,Novartis,RSU,2025-09-25,139,92.72,12887.52,vested
V00748,P100255,Novartis,RSU,2025-09-27,124,185.75,23033.58,vested
V00558,P100419,BP,RSU,2025-09-28,169,125.1,21142.2,vested
V01659,P100010,Barclays,RSU,2025-09-28,59,170.54,10062.13,vested
V00935,P100220,Barclays,RSU,2025-09-28,214,106.58,22807.2,vested
V01838,P100391,SAP,RSU,2025-09-30,194,74.94,14537.47,vested
V00831,P100221,Coca-Cola,SAYE,2025-09-30,218,37.27,8125.28,vested
V01213,P100153,DHL,RSU,2025-10-01,136,219.27,29820.1,vested
V01718,P100298,Novartis,ESPP,2025-10-02,174,33.51,5830.91,vested
V00714,P100252,Coca-Cola,RSU,2025-10-02,247,169.26,41808.0,vested
V01400,P100274,Siemens,SAYE,2025-10-04,189,33.51,6332.53,vested
V00445,P100190,BP,ESPP,2025-10-04,161,16.48,2653.11,vested
V01622,P100474,AstraZeneca,RSU,2025-10-04,163,165.37,26955.54,vested
V01360,P100061,Coca-Cola,SAYE,2025-10-05,249,10.07,2507.38,vested
V00396,P100287,Barclays,RSU,2025-10-05,105,111.96,11755.84,vested
V00608,P100320,BP,RSU,2025-10-05,88,192.52,16941.41,vested
V01699,P100280,SAP,RSU,2025-10-05,43,174.06,7484.56,vested
V00944,P100449,DHL,ESPP,2025-10-05,36,55.22,1988.04,vested
V01614,P100004,SAP,RSU,2025-10-06,121,105.49,12764.02,vested
V00010,P100345,Unilever,RSU,2025-10-07,80,163.05,13044.31,vested
V01327,P100446,Vodafone,RSU,2025-10-07,14,98.64,1380.98,vested
V01607,P100434,SAP,RSU,2025-10-07,119,92.91,11055.9,vested
V00933,P100152,SAP,RSU,2025-10-07,104,196.9,20477.27,vested
V00991,P100357,Unilever,SAYE,2025-10-08,35,22.15,775.27,vested
V00112,P100300,Novartis,RSU,2025-10-08,73,171.34,12507.86,vested
V00161,P100287,Barclays,RSU,2025-10-09,39,85.75,3344.31,vested
V00419,P100270,SAP,RSU,2025-10-09,181,144.53,26159.98,vested
V01493,P100460,DHL,SAYE,2025-10-10,193,21.21,4093.46,vested
V00673,P100352,DHL,RSU,2025-10-11,12,128.31,1539.71,vested
V00895,P100272,SAP,RSU,2025-10-11,118,92.47,10911.13,vested
V00345,P100123,Coca-Cola,RSU,2025-10-11,147,132.09,19416.7,vested
V01751,P100461,SAP,SAYE,2025-10-11,90,13.49,1214.32,vested
V00532,P100163,SAP,RSU,2025-10-11,112,198.03,22178.94,vested
V00385,P100340,SAP,RSU,2025-10-12,213,193.59,41234.91,vested
V01363,P100136,Vodafone,ESPP,2025-10-13,213,40.63,8653.73,vested
V01498,P100249,Coca-Cola,RSU,2025-10-13,95,137.15,13029.33,vested
V00821,P100319,Vodafone,RSU,2025-10-13,49,121.53,5954.98,vested
V00551,P100339,BP,ESPP,2025-10-14,231,33.82,7812.07,vested
V01036,P100470,Barclays,RSU,2025-10-14,97,143.1,13880.72,vested
V01422,P100021,Barclays,RSU,2025-10-14,138,189.82,26195.29,vested
V00400,P100159,Novartis,SAYE,2025-10-14,75,44.67,3350.58,vested
V01114,P100430,BP,RSU,2025-10-15,196,86.5,16953.75,vested
V00581,P100285,Coca-Cola,RSU,2025-10-15,77,66.77,5141.62,vested
V00761,P100316,Barclays,RSU,2025-10-16,24,99.93,2398.3,vested
V01886,P100200,Novartis,ESPP,2025-10-17,52,20.4,1060.78,vested
V01576,P100286,SAP,ESPP,2025-10-17,229,47.06,10776.01,vested
V00502,P100113,DHL,RSU,2025-10-18,186,84.78,15768.76,vested
V00594,P100465,Siemens,RSU,2025-10-18,17,204.7,3479.85,vested
V00635,P100094,Barclays,RSU,2025-10-18,122,125.86,15355.3,vested
V00702,P100440,Unilever,RSU,2025-10-18,161,76.99,12396.16,vested
V00694,P100057,DHL,RSU,2025-10-19,14,209.06,2926.91,vested
V01862,P100299,Siemens,ESPP,2025-10-19,9,15.22,136.94,vested
V00256,P100342,Unilever,SAYE,2025-10-19,104,26.74,2781.18,vested
V00554,P100423,SAP,RSU,2025-10-19,10,115.2,1152.04,vested
V01766,P100121,Siemens,RSU,2025-10-19,199,108.43,21577.7,vested
V01432,P100030,Novartis,RSU,2025-10-20,16,91.17,1458.79,vested
V00344,P100058,SAP,SAYE,2025-10-20,17,38.54,655.22,vested
V00583,P100464,DHL,SAYE,2025-10-21,166,29.55,4905.28,vested
V01025,P100353,DHL,RSU,2025-10-21,156,178.01,27769.65,vested
V01570,P100353,DHL,RSU,2025-10-21,37,129.9,4806.12,vested
V01229,P100340,SAP,RSU,2025-10-22,150,137.32,20598.3,vested
V01156,P100395,Coca-Cola,RSU,2025-10-22,206,187.67,38659.91,vested
V01806,P100025,AstraZeneca,ESPP,2025-10-22,111,58.15,6454.1,vested
V01113,P100331,AstraZeneca,RSU,2025-10-23,121,84.8,10260.2,vested
V00990,P100068,SAP,RSU,2025-10-24,54,65.89,3557.95,vested
V01670,P100322,Barclays,ESPP,2025-10-24,144,45.84,6600.45,vested
V00323,P100449,DHL,SAYE,2025-10-24,40,9.91,396.34,vested
V01870,P100454,SAP,RSU,2025-10-24,60,168.36,10101.64,vested
V00802,P100416,SAP,RSU,2025-10-25,63,76.19,4800.09,vested
V01106,P100469,Coca-Cola,SAYE,2025-10-25,223,38.57,8601.5,vested
V00932,P100420,Siemens,RSU,2025-10-26,129,145.51,18770.41,vested
V00293,P100252,Coca-Cola,RSU,2025-10-27,247,79.25,19573.69,vested
V00585,P100057,DHL,RSU,2025-10-27,142,71.11,10097.14,vested
V00294,P100042,Siemens,RSU,2025-10-27,37,190.69,7055.57,vested
V00865,P100401,BP,RSU,2025-10-28,121,157.23,19024.99,vested
V00760,P100054,Siemens,RSU,2025-10-28,62,130.99,8121.2,vested
V01240,P100076,Barclays,RSU,2025-10-29,240,132.88,31890.29,vested
V00025,P100244,DHL,RSU,2025-10-29,136,198.88,27048.06,vested
V00348,P100129,DHL,RSU,2025-10-29,7,141.6,991.19,vested
V00779,P100140,Coca-Cola,RSU,2025-10-29,30,60.17,1805.05,vested
V00443,P100313,Barclays,RSU,2025-10-29,91,133.47,12145.62,vested
V01384,P100275,Barclays,RSU,2025-10-29,194,157.93,30639.03,vested
V01449,P100057,DHL,ESPP,2025-10-29,128,78.45,10042.08,vested
V01730,P100059,SAP,RSU,2025-10-30,171,101.76,17401.13,vested
V01609,P100457,Coca-Cola,ESPP,2025-10-30,84,67.65,5682.95,vested
V00589,P100344,Novartis,RSU,2025-11-01,227,92.6,21021.32,vested
V01428,P100143,DHL,RSU,2025-11-01,105,159.66,16764.29,vested
V01578,P100163,SAP,RSU,2025-11-02,8,84.15,673.18,vested
V01002,P100168,Barclays,RSU,2025-11-02,220,179.14,39411.54,vested
V00007,P100407,Unilever,ESPP,2025-11-04,20,57.72,1154.47,vested
V00159,P100159,Novartis,RSU,2025-11-04,67,125.27,8392.95,vested
V01143,P100106,Coca-Cola,ESPP,2025-11-05,83,74.84,6211.46,vested
V00776,P100199,Barclays,RSU,2025-11-05,169,107.66,18194.54,vested
V01853,P100069,Coca-Cola,RSU,2025-11-05,172,77.86,13391.67,vested
V00629,P100269,SAP,RSU,2025-11-05,249,208.83,51998.45,vested
V00988,P100436,SAP,ESPP,2025-11-05,183,87.65,16039.73,vested
V00909,P100387,Vodafone,SAYE,2025-11-05,173,38.79,6711.45,vested
V00902,P100270,SAP,ESPP,2025-11-05,183,54.63,9996.84,vested
V00898,P100211,DHL,RSU,2025-11-05,232,81.32,18866.65,vested
V00085,P100470,Barclays,ESPP,2025-11-06,94,37.61,3535.3,vested
V01427,P100394,SAP,SAYE,2025-11-06,213,17.71,3773.07,vested
V01244,P100347,AstraZeneca,RSU,2025-11-06,201,69.75,14020.42,vested
V00778,P100232,Vodafone,RSU,2025-11-06,224,119.1,26678.95,vested
V01592,P100241,Unilever,RSU,2025-11-06,234,182.11,42614.8,vested
V00183,P100130,AstraZeneca,RSU,2025-11-06,203,217.41,44134.49,vested
V01181,P100256,Unilever,SAYE,2025-11-08,200,29.99,5997.99,vested
V01101,P100246,DHL,SAYE,2025-11-08,64,9.13,584.62,vested
V00005,P100065,DHL,RSU,2025-11-08,143,103.6,14814.54,vested
V01366,P100114,AstraZeneca,RSU,2025-11-08,187,99.2,18549.83,vested
V00164,P100146,Barclays,RSU,2025-11-08,123,135.9,16715.84,vested
V01606,P100283,AstraZeneca,RSU,2025-11-09,181,129.21,23387.47,vested
V00510,P100389,Unilever,RSU,2025-11-09,38,213.01,8094.55,vested
V01617,P100375,SAP,RSU,2025-11-09,114,200.12,22813.24,vested
V00840,P100364,Siemens,RSU,2025-11-10,187,145.07,27127.16,vested
V01348,P100270,SAP,RSU,2025-11-10,102,118.83,12121.09,vested
V00286,P100405,BP,RSU,2025-11-10,188,96.74,18187.94,vested
V00559,P100129,DHL,RSU,2025-11-11,48,112.5,5400.14,vested
V01685,P100090,SAP,SAYE,2025-11-11,35,13.67,478.29,vested
V01387,P100276,Barclays,RSU,2025-11-11,117,112.22,13129.42,vested
V00806,P100068,SAP,RSU,2025-11-12,68,165.96,11285.48,vested
V00457,P100292,BP,RSU,2025-11-12,97,66.06,6407.68,vested
V00289,P100424,DHL,ESPP,2025-11-13,21,88.52,1858.89,vested
V00313,P100304,Unilever,RSU,2025-11-13,127,140.92,17896.51,vested
V00187,P100436,SAP,RSU,2025-11-14,134,185.29,24829.41,vested
V00815,P100454,SAP,ESPP,2025-11-14,22,24.61,541.47,vested
V01283,P100316,Barclays,ESPP,2025-11-15,243,89.75,21809.26,vested
V01593,P100350,DHL,ESPP,2025-11-15,215,47.49,10210.2,vested
V01328,P100392,DHL,RSU,2025-11-15,234,115.78,27092.57,vested
V00042,P100068,SAP,ESPP,2025-11-17,108,18.45,1993.13,vested
V00598,P100116,Novartis,RSU,2025-11-17,124,118.2,14656.48,vested
V00381,P100477,DHL,ESPP,2025-11-18,180,57.22,10299.93,vested
V01750,P100350,DHL,RSU,2025-11-18,85,185.82,15794.91,vested
V00014,P100457,Coca-Cola,RSU,2025-11-20,24,60.97,1463.26,vested
V00409,P100253,AstraZeneca,SAYE,2025-11-20,143,20.28,2899.62,vested
V01137,P100092,Coca-Cola,ESPP,2025-11-20,224,78.06,17485.07,vested
V00970,P100270,SAP,RSU,2025-11-21,105,104.08,10928.58,vested
V00968,P100380,DHL,RSU,2025-11-21,131,205.01,26856.32,vested
V01148,P100368,Barclays,RSU,2025-11-22,30,106.76,3202.73,vested
V00742,P100289,SAP,ESPP,2025-11-22,194,23.45,4550.02,vested
V00142,P100261,Unilever,RSU,2025-11-22,133,88.78,11807.98,vested
V00718,P100016,DHL,RSU,2025-11-23,161,151.7,24422.96,vested
V00087,P100058,SAP,RSU,2025-11-24,100,164.95,16494.65,vested
V00049,P100106,Coca-Cola,RSU,2025-11-24,76,152.64,11600.84,vested
V00387,P100195,AstraZeneca,RSU,2025-11-25,64,137.33,8789.35,vested
V00092,P100209,Coca-Cola,SAYE,2025-11-25,97,37.81,3667.25,vested
V01780,P100151,BP,RSU,2025-11-25,122,202.77,24737.82,vested
V01647,P100369,BP,SAYE,2025-11-25,71,15.72,1116.4,vested
V00965,P100367,Siemens,RSU,2025-11-25,23,201.05,4624.15,vested
V00301,P100080,Siemens,RSU,2025-11-25,82,85.79,7034.84,vested
V01682,P100273,DHL,ESPP,2025-11-26,139,77.85,10820.94,vested
V01887,P100275,Barclays,ESPP,2025-11-26,123,16.93,2082.12,vested
V01765,P100311,Coca-Cola,SAYE,2025-11-26,183,44.98,8231.54,vested
V01117,P100132,DHL,SAYE,2025-11-26,40,14.53,581.08,vested
V00871,P100126,Barclays,RSU,2025-11-27,69,88.76,6124.68,vested
V01332,P100079,Novartis,SAYE,2025-11-27,95,30.8,2926.16,vested
V01482,P100170,Barclays,SAYE,2025-11-27,121,9.38,1134.57,vested
V01786,P100303,Coca-Cola,RSU,2025-11-27,220,65.68,14450.65,vested
V00328,P100368,Barclays,RSU,2025-11-27,146,209.98,30656.74,vested
V00506,P100202,Coca-Cola,RSU,2025-11-28,115,112.46,12933.01,vested
V00026,P100230,SAP,RSU,2025-11-28,141,111.02,15654.35,vested
V00947,P100202,Coca-Cola,RSU,2025-11-28,36,194.29,6994.39,vested
V01430,P100316,Barclays,RSU,2025-11-29,12,194.37,2332.39,vested
V01242,P100024,Novartis,RSU,2025-11-30,202,151.07,30515.69,vested
V00739,P100431,Novartis,SAYE,2025-11-30,225,17.43,3922.05,vested
V01406,P100172,AstraZeneca,ESPP,2025-11-30,243,60.19,14625.23,vested
V01444,P100302,DHL,RSU,2025-12-01,154,83.55,12866.12,vested
V01401,P100229,SAP,SAYE,2025-12-01,149,28.79,4289.46,vested
V01012,P100163,SAP,RSU,2025-12-02,113,98.85,11169.84,vested
V00448,P100349,SAP,SAYE,2025-12-02,203,10.7,2172.01,vested
V00512,P100442,Novartis,ESPP,2025-12-02,165,76.89,12687.23,vested
V00799,P100195,AstraZeneca,ESPP,2025-12-02,54,26.2,1414.55,vested
V00174,P100041,Unilever,ESPP,2025-12-02,14,62.33,872.58,vested
V00015,P100228,Siemens,RSU,2025-12-03,73,72.0,5255.98,vested
V00020,P100005,Vodafone,ESPP,2025-12-03,160,38.15,6103.38,vested
V01350,P100446,Vodafone,RSU,2025-12-04,155,73.57,11403.98,vested
V00675,P100187,SAP,RSU,2025-12-05,174,74.7,12997.05,vested
V00376,P100279,Unilever,SAYE,2025-12-06,180,10.05,1808.91,vested
V00407,P100155,Siemens,ESPP,2025-12-06,15,70.97,1064.57,vested
V01769,P100264,BP,RSU,2025-12-06,102,73.38,7484.44,vested
V00279,P100075,AstraZeneca,SAYE,2025-12-06,77,36.23,2789.76,vested
V01638,P100175,SAP,RSU,2025-12-06,48,149.1,7156.74,vested
V01128,P100245,Unilever,RSU,2025-12-07,235,194.84,45787.86,vested
V01641,P100241,Unilever,RSU,2025-12-07,71,93.23,6619.27,vested
V01259,P100089,Coca-Cola,RSU,2025-12-07,78,211.8,16520.68,vested
V01596,P100408,SAP,RSU,2025-12-07,180,112.51,20251.52,vested
V01019,P100010,Barclays,ESPP,2025-12-07,102,21.57,2200.32,vested
V01603,P100274,Siemens,SAYE,2025-12-07,79,12.77,1009.21,vested
V00613,P100258,SAP,ESPP,2025-12-08,149,59.8,8910.23,vested
V00529,P100160,SAP,ESPP,2025-12-09,12,60.63,727.61,vested
V00130,P100013,Unilever,RSU,2025-12-09,162,96.0,15552.61,vested
V00884,P100397,Barclays,SAYE,2025-12-09,42,31.04,1303.7,vested
V00182,P100209,Coca-Cola,RSU,2025-12-09,185,155.23,28718.38,vested
V01368,P100172,AstraZeneca,RSU,2025-12-10,6,145.57,873.41,vested
V01336,P100067,Barclays,RSU,2025-12-10,163,70.41,11477.22,vested
V01176,P100406,AstraZeneca,RSU,2025-12-11,86,98.37,8459.79,vested
V01010,P100029,Siemens,SAYE,2025-12-11,113,37.65,4254.31,vested
V01840,P100067,Barclays,RSU,2025-12-11,44,62.79,2762.67,vested
V00447,P100384,Barclays,RSU,2025-12-12,138,208.78,28811.85,vested
V01131,P100050,AstraZeneca,SAYE,2025-12-12,46,29.78,1369.65,vested
V00226,P100437,Coca-Cola,RSU,2025-12-12,71,161.3,11452.08,vested
V00449,P100449,DHL,RSU,2025-12-12,35,71.71,2509.81,vested
V01167,P100393,Siemens,RSU,2025-12-12,165,190.76,31475.99,vested
V01275,P100038,AstraZeneca,RSU,2025-12-12,124,200.27,24832.88,vested
V00327,P100016,DHL,RSU,2025-12-12,53,126.61,6710.34,vested
V00557,P100032,Barclays,RSU,2025-12-12,22,206.87,4551.16,vested
V01866,P100010,Barclays,ESPP,2025-12-13,94,63.14,5934.78,vested
V00111,P100402,Novartis,RSU,2025-12-13,84,99.13,8326.57,vested
V01871,P100426,AstraZeneca,ESPP,2025-12-13,13,19.53,253.95,vested
V00354,P100112,Barclays,RSU,2025-12-14,37,78.67,2910.89,vested
V00562,P100450,SAP,ESPP,2025-12-15,187,79.79,14920.14,vested
V00460,P100133,Barclays,RSU,2025-12-15,224,76.38,17108.95,vested
V01747,P100021,Barclays,RSU,2025-12-16,185,67.46,12480.75,vested
V00692,P100401,BP,RSU,2025-12-16,105,179.6,18858.1,vested
V01166,P100321,Coca-Cola,RSU,2025-12-16,65,191.1,12421.75,vested
V01005,P100273,DHL,RSU,2025-12-17,68,126.13,8576.62,vested
V00008,P100448,SAP,RSU,2025-12-17,181,94.3,17067.44,vested
V00464,P100468,SAP,RSU,2025-12-18,175,136.88,23954.38,vested
V01178,P100466,Siemens,RSU,2025-12-18,212,164.9,34958.18,vested
V01369,P100150,Unilever,RSU,2025-12-19,71,78.66,5585.1,vested
V01008,P100010,Barclays,RSU,2025-12-19,73,116.25,8486.21,vested
V00820,P100044,Unilever,RSU,2025-12-20,119,171.72,20434.53,vested
V00039,P100219,Barclays,SAYE,2025-12-21,157,36.05,5659.23,vested
V00753,P100049,SAP,RSU,2025-12-21,30,112.34,3370.14,vested
V01438,P100195,AstraZeneca,ESPP,2025-12-21,248,49.5,12275.05,vested
V01023,P100261,Unilever,SAYE,2025-12-21,139,40.04,5566.14,vested
V01608,P100275,Barclays,RSU,2025-12-21,203,148.54,30154.37,vested
V00889,P100129,DHL,ESPP,2025-12-22,212,28.7,6085.37,vested
V01473,P100187,SAP,RSU,2025-12-22,245,96.1,23545.57,vested
V01124,P100075,AstraZeneca,SAYE,2025-12-22,104,26.22,2727.14,vested
V01855,P100478,Siemens,ESPP,2025-12-22,17,24.4,414.87,vested
V01335,P100205,AstraZeneca,RSU,2025-12-22,63,119.93,7555.46,vested
V00817,P100204,SAP,RSU,2025-12-22,244,168.28,41059.88,vested
V00150,P100293,SAP,SAYE,2025-12-22,60,12.46,747.68,vested
V01273,P100329,AstraZeneca,RSU,2025-12-24,98,63.3,6203.55,vested
V01072,P100295,BP,RSU,2025-12-25,248,113.26,28088.15,vested
V00471,P100059,SAP,RSU,2025-12-25,68,206.47,14039.97,vested
V00299,P100378,Barclays,RSU,2025-12-25,102,68.88,7025.53,vested
V00633,P100393,Siemens,RSU,2025-12-25,132,134.19,17713.58,vested
V01374,P100352,DHL,RSU,2025-12-25,10,112.67,1126.71,vested
