participant_id,company,country,hire_date
P100055,Novartis,Spain,2021-01-26
P100056,Coca-Cola,Poland,2021-12-04
P100057,DHL,Poland,2023-07-23
P100058,SAP,UK,2021-04-29
P100059,SAP,UK,2023-12-28
P100060,Siemens,UK,2021-10-09
P100061,Coca-Cola,UK,2019-11-08
P100062,DHL,Spain,2019-08-19
P100063,Novartis,Spain,2020-04-18
P100064,Siemens,Netherlands,2022-04-03
P100065,DHL,UK,2019-09-23
P100066,DHL,UK,2024-07-04
P100067,Barclays,Germany,2021-06-01
P100068,SAP,Ireland,2024-02-23
P100069,Coca-Cola,Poland,2022-11-12
P100070,AstraZeneca,Poland,2020-05-16
P100071,Barclays,Germany,2019-08-17
P100072,Unilever,Netherlands,2023-04-19
P100073,AstraZeneca,Germany,2020-05-09
P100074,SAP,UK,2019-10-04
P100075,AstraZeneca,Netherlands,2024-08-16
P100076,Barclays,Spain,2021-06-08
P100077,Siemens,UK,2018-05-07
P100078,DHL,Poland,2021-07-10
P100079,Novartis,Netherlands,2021-04-13
P100080,Siemens,Netherlands,2024-02-25
P100081,Barclays,Spain,2023-01-25
P100082,Unilever,Poland,2019-05-13
P100083,AstraZeneca,Poland,2019-01-27
P100084,SAP,Netherlands,2022-04-19
P100085,SAP,UK,2018-05-04
P100086,Novartis,Germany,2020-04-09
P100087,Coca-Cola,Ireland,2018-12-26
P100088,AstraZeneca,Netherlands,2018-02-23
P100089,Coca-Cola,UK,2024-07-16
P100090,SAP,Ireland,2018-08-22
P100091,Siemens,Poland,2018-01-25
P100092,Coca-Cola,Ireland,2024-08-22
P100093,Barclays,Spain,2019-05-05
P100094,Barclays,UK,2023-10-25
P100095,Siemens,Spain,2018-03-23
P100096,Barclays,Poland,2019-02-04
P100097,SAP,Netherlands,2018-10-15
P100098,SAP,Poland,2023-01-11
P100099,Vodafone,Germany,2022-06-01
P100100,BP,Netherlands,2021-05-21
P100101,Siemens,Netherlands,2019-09-21
P100102,AstraZeneca,UK,2018-08-20
P100103,Vodafone,Netherlands,2022-01-19
P100104,Novartis,Netherlands,2019-08-23
P100105,Novartis,Poland,2022-03-15
P100106,Coca-Cola,Spain,2022-11-23
P100107,AstraZeneca,Ireland,2024-01-18
P100108,SAP,Poland,2021-07-08
P100109,BP,UK,2018-01-13
P100110,Coca-Cola,Netherlands,2019-12-31
P100111,AstraZeneca,Germany,2024-01-28
P100112,Barclays,Netherlands,2021-10-18
P100113,DHL,Ireland,2022-05-29
P100114,AstraZeneca,Poland,2021-04-05
P100115,Unilever,UK,2019-02-28
P100116,Novartis,Netherlands,2024-05-20
P100117,Novartis,UK,2023-07-03
P100118,Coca-Cola,Poland,2025-01-31
P100119,Siemens,Spain,2024-02-03
P100120,DHL,Spain,2020-01-27
P100121,Siemens,Spain,2019-10-24
P100122,SAP,Spain,2019-10-09
P100123,Coca-Cola,Ireland,2024-07-16
P100124,SAP,Germany,2021-12-19
P100125,Coca-Cola,Spain,2021-03-27
P100126,Barclays,Netherlands,2024-11-22
P100127,SAP,Spain,2022-04-18
P100128,SAP,Ireland,2024-06-22
P100129,DHL,UK,2025-01-04
P100130,AstraZeneca,Ireland,2018-07-26
P100131,BP,Poland,2020-07-28
P100132,DHL,Spain,2023-03-24
P100133,Barclays,Poland,2023-10-16
P100134,DHL,Germany,2019-01-22
P100135,SAP,UK,2020-04-07
P100136,Vodafone,Spain,2021-11-26
P100137,Coca-Cola,Netherlands,2023-09-09
P100138,Novartis,UK,2018-10-21
P100139,SAP,Poland,2022-04-11
P100140,Coca-Cola,Poland,2020-02-10
P100141,Coca-Cola,Poland,2019-07-17
P100142,BP,Spain,2021-09-02
P100143,DHL,UK,2020-12-12
P100144,Coca-Cola,Germany,2022-07-11
P100145,AstraZeneca,Germany,2020-04-05
P100146,Barclays,Germany,2023-11-11
P100147,DHL,Spain,2018-07-23
P100148,Coca-Cola,Spain,2024-02-19
P100149,SAP,UK,2018-03-19
P100150,Unilever,Ireland,2023-03-29
P100151,BP,Germany,2020-06-19
P100152,SAP,Germany,2020-09-23
P100153,DHL,Germany,2018-02-19
P100154,SAP,Germany,2022-12-31
P100155,Siemens,Poland,2019-03-07
P100156,AstraZeneca,Spain,2022-09-10
P100157,Siemens,Ireland,2023-03-01
P100158,Novartis,Netherlands,2024-01-07
P100159,Novartis,Poland,2023-01-16
P100160,SAP,UK,2020-02-23
P100161,BP,UK,2023-04-05
P100162,AstraZeneca,Germany,2023-11-18
P100163,SAP,Germany,2020-04-04
P100164,DHL,Spain,2018-11-19
P100165,Barclays,Spain,2024-05-03
P100166,Unilever,Spain,2019-01-20
P100167,Unilever,Ireland,2022-03-24
P100168,Barclays,Ireland,2019-09-07
P100169,Vodafone,Ireland,2018-11-24
P100170,Barclays,Poland,2023-07-12
P100171,Coca-Cola,Netherlands,2019-01-09
P100172,AstraZeneca,Netherlands,2022-10-09
P100173,BP,Netherlands,2022-12-08
P100174,AstraZeneca,Ireland,2018-06-06
P100175,SAP,UK,2019-03-26
P100176,Coca-Cola,Netherlands,2023-08-28
P100177,Vodafone,Poland,2021-08-11
P100178,BP,Netherlands,2018-11-12
P100179,Novartis,Ireland,2025-01-22
P100180,BP,Spain,2019-11-20
P100181,BP,Poland,2018-01-11
P100182,Coca-Cola,Spain,2024-07-30
P100183,Barclays,Spain,2018-02-13
P100184,Novartis,Germany,2021-12-09
P100185,Siemens,Poland,2025-01-26
P100186,Barclays,Ireland,2022-02-11
P100187,SAP,Netherlands,2022-03-01
P100188,Novartis,Netherlands,2020-10-06
P100189,AstraZeneca,Spain,2018-11-26
P100190,BP,Poland,2022-01-28
P100191,AstraZeneca,Ireland,2024-05-21
P100192,SAP,Poland,2018-08-25
P100193,Unilever,Spain,2024-04-07
P100194,SAP,Germany,2020-12-15
P100195,AstraZeneca,Ireland,2021-10-26
P100196,DHL,UK,2019-03-07
P100197,BP,Spain,2022-06-05
P100198,AstraZeneca,Poland,2019-04-20
P100199,Barclays,Poland,2019-12-12
P100200,Novartis,Ireland,2023-02-20
P100201,Vodafone,Poland,2018-05-12
P100202,Coca-Cola,Spain,2021-03-08
P100203,SAP,Ireland,2022-03-26
P100204,SAP,Ireland,2018-12-10
P100205,AstraZeneca,UK,2020-02-06
P100206,SAP,UK,2020-06-12
P100207,Siemens,Poland,2022-09-22
P100208,SAP,Spain,2024-12-14
P100209,Coca-Cola,Spain,2023-12-15
P100210,Siemens,Ireland,2019-05-09
P100211,DHL,Ireland,2018-02-17
P100212,AstraZeneca,Poland,2018-05-15
P100213,Unilever,Germany,2022-03-29
P100214,Novartis,UK,2019-02-11
P100215,Novartis,Poland,2019-08-25
P100216,SAP,Germany,2024-01-13
P100217,SAP,Germany,2024-03-22
P100218,BP,Germany,2023-12-22
P100219,Barclays,UK,2019-10-22
P100220,Barclays,Ireland,2022-05-31
P100221,Coca-Cola,Spain,2022-05-08
P100222,Siemens,Netherlands,2019-04-27
P100223,Vodafone,Poland,2021-12-10
P100224,AstraZeneca,Poland,2021-09-27
P100225,BP,Germany,2020-10-27
P100226,SAP,UK,2023-05-09
P100227,DHL,Ireland,2022-10-28
P100228,Siemens,Ireland,2021-10-16
P100229,SAP,UK,2023-03-03
P100230,SAP,Poland,2023-06-08
P100231,Coca-Cola,Germany,2022-01-14
P100232,Vodafone,Germany,2019-11-27
P100233,DHL,Netherlands,2023-05-26
P100234,BP,Ireland,2023-02-09
P100235,Unilever,Ireland,2024-12-31
P100236,Coca-Cola,Netherlands,2019-01-25
P100237,Novartis,Spain,2020-12-26
P100238,SAP,Netherlands,2024-07-30
P100239,SAP,Ireland,2021-08-30
P100240,Unilever,Spain,2024-09-16
P100241,Unilever,Poland,2018-02-02
P100242,AstraZeneca,Spain,2018-04-02
P100243,DHL,Netherlands,2023-09-01
P100244,DHL,Ireland,2020-07-20
P100245,Unilever,Spain,2021-09-14
P100246,DHL,Ireland,2021-01-17
P100247,Coca-Cola,Netherlands,2020-11-26
P100248,Barclays,Germany,2024-09-08
P100249,Coca-Cola,Spain,2018-09-02
P100250,Siemens,Ireland,2023-07-01
P100251,Unilever,Netherlands,2024-05-02
P100252,Coca-Cola,Poland,2022-09-06
P100253,AstraZeneca,Spain,2020-10-24
P100254,AstraZeneca,UK,2019-02-21
P100255,Novartis,UK,2022-11-10
P100256,Unilever,Ireland,2021-05-03
P100257,SAP,Netherlands,2019-01-24
P100258,SAP,Netherlands,2020-07-24
P100259,DHL,Poland,2024-11-05
P100260,SAP,Ireland,2019-11-22
P100261,Unilever,Ireland,2019-04-09
P100262,Barclays,Spain,2022-11-09
P100263,SAP,Ireland,2019-06-03
P100264,BP,Poland,2024-07-19
P100265,AstraZeneca,Spain,2024-02-12
P100266,AstraZeneca,UK,2025-01-01
P100267,SAP,Spain,2024-06-30
P100268,SAP,UK,2019-09-26
P100269,SAP,Germany,2019-07-06
P100270,SAP,Netherlands,2020-06-09
P100271,AstraZeneca,Netherlands,2021-05-06
P100272,SAP,Spain,2024-04-06
P100273,DHL,Netherlands,2023-03-23
P100274,Siemens,Ireland,2022-08-03
P100275,Barclays,Poland,2024-04-02
P100276,Barclays,UK,2022-08-07
P100277,Coca-Cola,UK,2020-09-12
P100278,BP,Germany,2020-12-09
P100279,Unilever,UK,2021-09-06
P100280,SAP,Ireland,2018-08-19
P100281,AstraZeneca,Netherlands,2023-04-13
P100282,AstraZeneca,Spain,2022-08-25
P100283,AstraZeneca,Poland,2023-03-16
P100284,DHL,Spain,2021-10-20
P100285,Coca-Cola,Spain,2023-07-29
P100286,SAP,Spain,2024-10-05
P100287,Barclays,Poland,2022-01-21
P100288,DHL,Germany,2021-03-01
P100289,SAP,Spain,2018-09-29
P100290,Unilever,Germany,2023-07-18
P100291,SAP,Poland,2024-06-08
P100292,BP,UK,2022-12-24
P100293,SAP,Netherlands,2024-02-29
P100294,Unilever,Ireland,2024-02-18
P100295,BP,UK,2023-09-07
P100296,Vodafone,Germany,2021-07-31
P100297,Unilever,Ireland,2018-09-17
P100298,Novartis,Ireland,2018-01-09
P100299,Siemens,Netherlands,2019-06-16
P100300,Novartis,Germany,2021-01-25
P100301,SAP,Spain,2023-04-18
P100302,DHL,Poland,2021-03-31
P100303,Coca-Cola,Netherlands,2018-03-02
P100304,Unilever,Germany,2019-07-01
P100305,Coca-Cola,UK,2024-12-20
P100306,Barclays,UK,2025-01-12
P100307,Siemens,Poland,2020-09-07
P100308,AstraZeneca,Spain,2023-09-24
P100309,SAP,UK,2023-02-14
P100310,Coca-Cola,Poland,2024-08-18
P100311,Coca-Cola,UK,2024-04-26
P100312,AstraZeneca,Spain,2022-06-23
P100313,Barclays,Netherlands,2020-10-23
P100314,Barclays,Netherlands,2022-06-18
P100315,Barclays,Netherlands,2020-04-09
P100316,Barclays,Ireland,2020-06-24
P100317,Siemens,Netherlands,2022-05-02
P100318,Barclays,UK,2022-01-25
P100319,Vodafone,Spain,2022-02-19
P100320,BP,Netherlands,2020-09-27
P100321,Coca-Cola,Netherlands,2020-11-29
P100322,Barclays,Poland,2018-01-27
P100323,DHL,Netherlands,2022-04-14
P100324,Unilever,Poland,2022-02-06
P100325,Siemens,UK,2024-08-28
P100326,Unilever,Spain,2021-08-04
P100327,DHL,Germany,2021-04-30
P100328,Siemens,UK,2018-06-25
P100329,AstraZeneca,Ireland,2019-05-27
P100330,Novartis,Germany,2020-05-28
P100331,AstraZeneca,Spain,2020-09-07
P100332,Siemens,Poland,2020-07-31
P100333,Unilever,UK,2020-10-21
P100334,SAP,Spain,2023-06-23
P100335,DHL,Ireland,2018-12-07
P100336,SAP,Germany,2020-05-13
P100337,Novartis,Netherlands,2019-02-28
P100338,SAP,Ireland,2020-03-11
P100339,BP,UK,2022-11-15
P100340,SAP,Netherlands,2018-05-02
P100341,Vodafone,Poland,2020-06-01
P100342,Unilever,Netherlands,2018-03-03
P100343,DHL,Spain,2024-10-18
P100344,Novartis,Ireland,2023-03-06
P100345,Unilever,Netherlands,2019-09-26
P100346,Vodafone,Germany,2019-05-31
P100347,AstraZeneca,Germany,2018-09-15
P100348,DHL,Poland,2021-05-14
P100349,SAP,Spain,2023-05-14
P100350,DHL,Ireland,2022-02-27
P100351,AstraZeneca,Poland,2024-04-09
P100352,DHL,Netherlands,2020-06-12
P100353,DHL,Spain,2019-12-25
P100354,Coca-Cola,Spain,2021-05-27
P100355,DHL,Germany,2019-06-10
P100356,Novartis,Netherlands,2024-12-11
P100357,Unilever,Ireland,2019-04-28
P100358,Coca-Cola,Poland,2021-05-30
P100359,DHL,Poland,2021-09-19
P100360,BP,UK,2018-05-29
P100361,SAP,Germany,2021-05-02
P100362,SAP,Ireland,2021-03-28
P100363,SAP,Spain,2019-11-06
P100364,Siemens,Spain,2018-11-29
P100365,Coca-Cola,Germany,2018-04-28
P100366,Novartis,Netherlands,2018-01-23
P100367,Siemens,UK,2021-06-05
P100368,Barclays,Netherlands,2018-08-22
P100369,BP,Poland,2024-10-30
P100370,Novartis,Poland,2019-09-29
P100371,AstraZeneca,Netherlands,2022-08-24
P100372,Barclays,Poland,2022-10-18
P100373,Barclays,Netherlands,2021-07-12
P100374,SAP,Ireland,2024-04-16
P100375,SAP,Spain,2018-10-15
P100376,BP,Ireland,2019-09-01
P100377,Coca-Cola,Germany,2019-10-19
P100378,Barclays,Netherlands,2018-12-19
P100379,Novartis,Poland,2020-02-06
P100380,DHL,Ireland,2020-03-23
P100381,BP,UK,2023-06-12
P100382,Novartis,UK,2020-02-24
P100383,Coca-Cola,Ireland,2024-03-29
P100384,Barclays,Germany,2023-07-02
P100385,Vodafone,Spain,2024-06-02
P100386,Novartis,Spain,2018-10-01
P100387,Vodafone,Netherlands,2025-01-03
P100388,SAP,Netherlands,2022-05-16
P100389,Unilever,Ireland,2024-12-29
P100390,Siemens,UK,2020-07-11
P100391,SAP,Poland,2024-10-13
P100392,DHL,Poland,2022-03-11
P100393,Siemens,Spain,2018-07-06
P100394,SAP,Germany,2020-12-02
P100395,Coca-Cola,Poland,2018-12-25
P100396,Unilever,Poland,2024-09-13
P100397,Barclays,UK,2020-03-02
P100398,Coca-Cola,UK,2019-08-02
P100399,Coca-Cola,Poland,2021-12-08
P100400,Barclays,UK,2021-01-10
P100401,BP,UK,2018-09-10
P100402,Novartis,Poland,2023-10-24
P100403,SAP,Germany,2024-01-09
P100404,Vodafone,Ireland,2023-04-16
P100405,BP,UK,2022-05-23
P100406,AstraZeneca,Germany,2020-11-12
P100407,Unilever,Poland,2021-11-11
P100408,SAP,Spain,2021-09-16
P100409,Vodafone,Ireland,2019-03-06
P100410,Siemens,Spain,2018-08-01
P100411,Siemens,Poland,2019-10-21
P100412,SAP,Poland,2021-03-27
P100413,BP,Poland,2019-02-21
P100414,SAP,Spain,2018-10-05
P100415,AstraZeneca,Spain,2024-01-25
P100416,SAP,Spain,2020-09-01
P100417,Novartis,Netherlands,2022-02-27
P100418,AstraZeneca,Ireland,2021-09-24
P100419,BP,Ireland,2023-03-27
P100420,Siemens,Spain,2023-04-08
P100421,SAP,Germany,2020-02-09
P100422,SAP,Poland,2024-01-14
P100423,SAP,Spain,2020-08-23
P100424,DHL,Poland,2023-12-12
P100425,Unilever,Germany,2020-11-18
P100426,AstraZeneca,Ireland,2018-10-16
P100427,Unilever,Germany,2023-05-31
P100428,SAP,Spain,2018-03-20
P100429,Unilever,Spain,2023-07-02
P100430,BP,Germany,2018-04-23
P100431,Novartis,Ireland,2019-06-22
P100432,Siemens,Spain,2022-04-18
P100433,Unilever,Netherlands,2024-09-14
P100434,SAP,Germany,2020-11-28
P100435,AstraZeneca,Ireland,2018-11-10
P100436,SAP,Ireland,2019-08-29
P100437,Coca-Cola,Ireland,2024-05-18
P100438,Novartis,UK,2023-03-05
P100439,Siemens,Germany,2018-09-19
P100440,Unilever,Spain,2020-09-27
P100441,SAP,Germany,2019-11-19
P100442,Novartis,Germany,2019-04-08
P100443,AstraZeneca,Germany,2024-01-10
P100444,AstraZeneca,Germany,2022-05-26
P100445,Siemens,UK,2019-04-12
P100446,Vodafone,Poland,2022-08-19
P100447,DHL,Spain,2020-12-11
P100448,SAP,UK,2018-06-09
P100449,DHL,Germany,2021-03-15
P100450,SAP,UK,2019-04-27
P100451,BP,Ireland,2019-09-30
P100452,Siemens,Germany,2024-04-04
P100453,AstraZeneca,Netherlands,2023-01-21
P100454,SAP,Ireland,2018-12-15
P100455,AstraZeneca,Netherlands,2024-01-23
P100456,Vodafone,Ireland,2022-02-02
P100457,Coca-Cola,Poland,2024-03-23
P100458,Novartis,Spain,2023-04-27
P100459,Siemens,Poland,2020-06-01
P100460,DHL,Spain,2021-10-22
P100461,SAP,Spain,2021-10-12
P100462,Vodafone,Ireland,2023-02-15
P100463,Barclays,Netherlands,2019-10-08
P100464,DHL,Germany,2020-05-16
P100465,Siemens,Netherlands,2019-09-29
P100466,Siemens,Netherlands,2020-02-09
P100467,Vodafone,Spain,2019-02-24
P100468,SAP,Germany,2018-04-06
P100469,Coca-Cola,Netherlands,2024-09-10
P100470,Barclays,Poland,2018-07-13
P100471,Coca-Cola,Germany,2024-04-27
P100472,SAP,Germany,2018-01-09
P100473,SAP,Ireland,2023-07-15
P100474,AstraZeneca,Germany,2020-05-03
P100475,Barclays,UK,2021-09-07
P100476,Coca-Cola,Poland,2020-01-04
P100477,DHL,Ireland,2021-06-29
P100478,Siemens,Germany,2021-03-20
P100479,Coca-Cola,Spain,2021-10-09
